"nome","resumo","coordenador"
"ESTUDO DE CASOS DE PRODUÇÃO MAIS LIMPA (P_MAISL) LIGADOS AOS IMPACTOS AMBIENTAIS","Em breve este conteúdo estará disponível.","Patricia Dos Santos Matta "
"PROJETO ÁGUAS CLARAS: SANEAMENTO BÁSICO E SUSTENTABILIDADE","Em breve este conteúdo estará disponível.","Patricia Dos Santos Matta "
"MONITORIA DE FCEE05- TECNOLOGIA DA SOLDAGEM","Em breve este conteúdo estará disponível.","Tetyana Gurova "
"VIABILIDADE PRÁTICA DA REUTILIZAÇÃO DIRETA DO AÇO DESCOMISSIONADAS NO REPARO NAVAL","Em breve este conteúdo estará disponível.","Tetyana Gurova "
"SUSTENTABILIDADE DA ECONOMIA CIRCULAR DO AÇO NAVAL. A VIABILIDADE DA REUTILIZAÇÃO DAS CHAPAS NAVAIS","Em breve este conteúdo estará disponível.","Tetyana Gurova "
"ECONOMIA CIRCULAR DE NAVIOS DESCOMISSIONADOS: SOLUÇÃO PARA ECONOMIA PESQUEIRA DA BAÍA DE GUANABARA","Em breve este conteúdo estará disponível.","Tetyana Gurova "
